,Role_Promoter,Personal_Values_Facet_Cont_SecurityPersonal,Personal_Values_Facet_Cont_UniversalismConcern,Mean_Promotor,Mean_Promoter
0,0.674905456,0.353928485,0.477636727,0.5021568893333334,0.5021568893333334
1,0.503095923,0.4256492679999999,0.456435552,0.4617269143333333,0.4617269143333333
2,0.390856673,0.355100462,0.69860375,0.481520295,0.481520295
3,0.48592621,0.207889482,0.448911519,0.3809090703333333,0.3809090703333333
4,0.385112435,0.66291878,0.653052494,0.5670279029999999,0.5670279029999999
5,0.5765087760000001,0.4400785479999999,0.310097035,0.4422281196666667,0.4422281196666667
6,0.666869323,0.448800879,0.46015541,0.525275204,0.525275204
7,0.3885493579999999,0.520337362,0.46957122,0.4594859799999999,0.45948597999999996
8,0.4546926999999999,0.494904792,0.679730072,0.543109188,0.543109188
9,0.651607704,0.60352182,0.622552397,0.6258939736666667,0.6258939736666667
10,0.705007333,0.368101805,0.522099908,0.5317363486666666,0.5317363486666666
11,0.6052690820000001,0.386528415,0.461068531,0.484288676,0.48428867600000003
12,0.4783015889999999,0.354821675,0.3661901489999999,0.3997711376666666,0.3997711376666666
13,0.542118998,0.817201246,0.6886014290000001,0.6826405576666668,0.6826405576666668
14,0.527832008,0.401456707,0.399306513,0.4428650759999999,0.44286507599999997
15,0.359633632,0.515625847,0.479879855,0.4517131113333333,0.4517131113333333
16,0.4409725539999999,0.430798131,0.479879855,0.4505501799999999,0.4505501799999999
17,0.46700386,0.411992787,0.514708819,0.4645684886666667,0.4645684886666667
18,0.664715674,0.482082577,0.326869219,0.4912224899999999,0.49122248999999996
19,0.418338728,0.34470319,0.395790462,0.38627746,0.38627746
20,0.669249876,0.616327848,0.573839705,0.6198058096666667,0.6198058096666667
21,0.361600114,0.413712866,0.435737825,0.4036836016666667,0.4036836016666667
22,0.4411863479999999,0.552821351,0.522099908,0.5053692023333333,0.5053692023333333
23,0.473205142,0.447775178,0.444520363,0.4551668943333333,0.45516689433333335
24,0.6028217929999999,0.392256252,0.386439551,0.4605058653333333,0.4605058653333333
25,0.318569637,0.41427255,0.511152523,0.4146649033333333,0.4146649033333333
26,0.480538156,0.334833456,0.66166235,0.492344654,0.492344654
27,0.581216738,0.7692936020000001,0.645625674,0.6653786713333334,0.6653786713333334
28,0.459946408,0.427168043,0.363612238,0.4169088963333333,0.4169088963333333
29,0.6149038410000001,0.384042593,0.343312752,0.4474197286666667,0.4474197286666667
30,0.48753739,0.256176586,0.36568652,0.3698001653333334,0.3698001653333334
31,0.3836511929999999,0.327150332,0.468155847,0.3929857906666666,0.3929857906666666
32,0.531914702,0.436313106,0.347684108,0.4386373053333333,0.4386373053333333
33,0.651607704,0.60352182,0.622552397,0.6258939736666667,0.6258939736666667
34,0.534180461,0.53481369,0.36013502,0.4763763903333333,0.47637639033333334
35,0.6826151079999999,0.504285468,0.347684108,0.5115282279999999,0.5115282279999999
36,0.520119604,0.6888075090000001,0.677685953,0.6288710220000001,0.6288710220000001
37,0.578989845,0.247788183,0.517455395,0.4480778076666666,0.4480778076666666
