,Role_Manager,Personal_Values_Facet_Cont_Stimulation,Character_Cont_Neuroticism,Self_Esteem_Cont_SELevelConfidence,Self_Esteem_Cont_SEAspirationConfidence,Mean
0,0.491606946,0.611376177,0.440366973,0.579454493,0.7964864859999999,0.583858215
1,0.14767555,0.534274541,0.366972477,0.60162374,0.8299223459999999,0.4960937308
2,0.293105789,0.4917311029999999,0.7557645690000001,0.4060600029999999,0.833079778,0.5559482484
3,0.257566207,0.463985667,0.357798165,0.552021879,0.775193063,0.48131299619999995
4,0.277707266,0.5220987020000001,0.485425848,0.6253130610000001,0.715707749,0.5252505251999999
5,0.38921006,0.4274520539999999,0.449541284,0.445212927,0.828922767,0.5080678184
6,0.430056211,0.526108214,0.4220183489999999,0.633476661,0.808767232,0.5640853334
7,0.283543944,0.527089491,0.366972477,0.653035591,0.752907434,0.5167097874
8,0.161632869,0.40401932,0.416694013,0.456498323,0.798738143,0.4475165336
9,0.414844503,0.43601995,0.514556722,0.329864773,0.7864732870000001,0.496351847
10,0.478712096,0.618225346,0.486238532,0.411542892,0.754990198,0.5499418128
11,0.306361505,0.594257788,0.431192661,0.732541813,0.8795748320000001,0.5887857198
12,0.322810782,0.511296565,0.403669725,0.687239892,0.745113868,0.5340261664
13,0.607498481,0.588480023,0.551249514,0.256978472,0.7623363390000001,0.5533085658
14,0.342920491,0.4060799989999999,0.3944954129999999,0.6735571370000001,0.561417485,0.475694105
15,0.531866902,0.5394040520000001,0.532110092,0.548970706,0.7735560640000001,0.5851815632
16,0.47458476,0.613833182,0.642201835,0.528866168,0.8795595979999999,0.6278091085999999
17,0.4260102289999999,0.49905813,0.513761468,0.529042346,0.7369481640000001,0.5409640674
18,0.176831258,0.612876639,0.4678899079999999,0.67337495,0.860801415,0.558354834
19,0.443546714,0.339397688,0.76146789,0.68535159,0.8184521140000001,0.6096431992000001
20,0.3902329229999999,0.4129467129999999,0.497271207,0.392437387,0.835702189,0.5057180837999999
21,0.397550512,0.339976841,0.440366973,0.664304848,0.743039795,0.5170477938
22,0.308676295,0.513123831,0.486238532,0.386402021,0.765274972,0.49194313019999997
23,0.354201995,0.565759436,0.385321101,0.460460324,0.878972483,0.5289430678
24,0.121164469,0.578457675,0.486238532,0.673184902,0.774482482,0.526705612
25,0.400977497,0.4473100889999999,0.486238532,0.518952219,0.534493654,0.47759439819999994
26,0.199269024,0.511379446,0.5094108310000001,0.358282601,0.867583854,0.48918515120000006
27,0.5367375529999999,0.462346583,0.526225113,0.362767566,0.792181253,0.5360516136
28,0.4293573579999999,0.53531125,0.568807339,0.640350568,0.844163691,0.6035980411999999
29,0.487494175,0.450647801,0.532110092,0.6904590540000001,0.762196598,0.5845815440000001
30,0.435524615,0.662447518,0.486238532,0.684430615,0.840998605,0.621927977
31,0.32558873,0.584127256,0.376146789,0.4161468789999999,0.805861954,0.5015743215999999
32,0.380467902,0.427084045,0.4678899079999999,0.60057782,0.80926891,0.5370577169999999
33,0.414844503,0.43601995,0.514556722,0.329864773,0.7864732870000001,0.496351847
34,0.377803414,0.543539243,0.568807339,0.614020673,0.836283,0.5880907338
35,0.314215184,0.391335987,0.532110092,0.627302901,0.746689033,0.5223306394
36,0.307254779,0.4594066429999999,0.49852445,0.30379074,0.876850872,0.4891654968
37,0.413767958,0.501919452,0.623853211,0.61671152,0.7617925879999999,0.5836089458
38,0.332026083,0.5791672,0.486238532,0.620726536,0.821574535,0.5679465772000001
39,0.1681461169999999,0.45685581,0.429796111,0.311351965,0.702147992,0.413659599
40,0.047599697,0.557255598,0.4798954379999999,0.296997682,0.80013115,0.436375913
