,Role_Keeper,Character_Facet_Cont_Tension,Character_Facet_Cont_Altruism,Personal_Values_Facet_Cont_SecuritySocietal,Self_Esteem_Cont_SEAspirationAchievements,Self_Esteem_Cont_SEAspirationOriginality,Personal_Values_Facet_Cont_Humility,Character_Facet_Cont_Orderliness,Mean,Mean_Role Keeper
0,0.502705173,0.658562654,0.489028902,0.4500490479999999,0.808913705,0.73321567,0.335468359,0.482501061,0.5575555715,0.5575555715
1,0.105108472,0.572325631,0.310958872,0.4733918239999999,0.7517323859999999,0.835317732,0.335035578,0.414946102,0.4748520746249999,0.474852074625
2,0.501414414,0.536447486,0.445136591,0.4071932579999999,0.8948428279999999,0.7465576740000001,0.3327954039999999,0.3630573689999999,0.528430628,0.528430628
3,0.084650007,0.610603569,0.331463567,0.383971426,0.87708093,0.686631694,0.327658217,0.322056321,0.453014466375,0.45301446637500004
4,0.622450384,0.3548095529999999,0.6007983410000001,0.584311488,0.941654829,0.786673562,0.336522025,0.5466346089999999,0.596731848875,0.596731848875
5,0.226307344,0.566233325,0.357908862,0.528908743,0.840927845,0.708931003,0.337457902,0.310980915,0.484706992375,0.48470699237500003
6,0.329762696,0.6696045829999999,0.390992562,0.351723575,0.854858998,0.764751209,0.32101498,0.524446185,0.5258943485,0.5258943485
7,0.074123144,0.632221126,0.395606284,0.351723575,0.914789755,0.719720991,0.326554513,0.388208205,0.475368449125,0.475368449125
8,0.390205841,0.5466642829999999,0.29507299,0.474457884,0.854875374,0.554097187,0.333869788,0.494096431,0.49291747225,0.49291747225
9,0.615252502,0.4958421179999999,0.354062321,0.480516181,0.883966041,0.763816915,0.340927759,0.587106483,0.56518629,0.56518629
10,0.399444226,0.4937126129999999,0.5481278829999999,0.519139751,0.855781232,0.820542642,0.341782319,0.376292044,0.54435283875,0.54435283875
11,0.232829276,0.573654342,0.393797532,0.427166227,0.816460528,0.798847572,0.333857616,0.3898873329999999,0.49581255325,0.49581255325
12,0.142903967,0.668770631,0.392501057,0.351723575,0.886526695,0.6067138470000001,0.339590655,0.304643913,0.4616717925,0.4616717925
13,0.5965938510000001,0.444651112,0.571922873,0.4437381079999999,0.871152058,0.771648157,0.337334109,0.6479282120000001,0.58562106,0.58562106
14,0.18507815,0.592413446,0.349775464,0.456173695,0.85750484,0.7378481709999999,0.329449122,0.313992261,0.477779393625,0.477779393625
15,0.245999211,0.659123815,0.546589733,0.351723575,0.78836152,0.7650533279999999,0.322233045,0.329616626,0.5010876066250001,0.5010876066250001
16,0.259363873,0.6543946279999999,0.261997642,0.464372332,0.741508437,0.7259504109999999,0.337558714,0.295621433,0.46759593375,0.46759593374999997
17,0.253722201,0.684561802,0.427899011,0.351723575,0.84307018,0.675812932,0.3259595839999999,0.223917323,0.473333326,0.47333332599999994
