,Role_Craftsman,Self_Esteem_Cont_SELevelResponsibility,Self_Esteem_Cont_SEAspirationResponsibility,Mean
0,0.453881738,0.67942731,0.721494717,0.6182679216666668
1,0.3252223919999999,0.74340653,0.5344246229999999,0.5343511816666666
2,0.784232037,0.555626459,0.568014021,0.6359575056666666
3,0.187634417,0.6744906409999999,0.7123271529999999,0.5248174036666666
4,0.472547637,0.8005455640000001,0.74387201,0.672321737
5,0.332388026,0.712101676,0.73175711,0.5920822706666666
6,0.379577415,0.655520229,0.788831119,0.6079762543333334
7,0.1146695869999999,0.757457873,0.782359703,0.551495721
8,0.511423385,0.610307114,0.6083875679999999,0.5767060223333332
9,0.646709076,0.612115263,0.625672042,0.6281654603333333
10,0.493620067,0.770739168,0.7792061240000001,0.681188453
11,0.400131,0.698638187,0.767407556,0.6220589143333334
12,0.202244638,0.696697232,0.584258013,0.49439996100000005
13,0.506229809,0.573967882,0.6562058829999999,0.5788011913333333
14,0.249674874,0.6295650429999999,0.7793307690000001,0.5528568953333334
15,0.199059911,0.7221558990000001,0.843167752,0.588127854
16,0.397793947,0.5721514560000001,0.745567057,0.5718374866666668
17,0.300889408,0.7515158740000001,0.586672183,0.5463591550000001
18,0.636455335,0.755814707,0.8166655559999999,0.7363118659999999
19,0.561679887,0.737121508,0.8012380579999999,0.700013151
20,0.614247735,0.674423533,0.537181357,0.6086175416666667
21,0.076169955,0.711494875,0.7153802840000001,0.501015038
22,0.278990904,0.661477766,0.767391913,0.569286861
23,0.199806341,0.632441506,0.679384557,0.5038774680000001
24,0.636479766,0.746758659,0.8237449,0.7356611083333333
25,0.107233713,0.730679417,0.736308704,0.5247406113333334
26,0.563749821,0.5470036110000001,0.39361807,0.5014571673333333
27,0.553008828,0.671045944,0.644773833,0.6229428683333333
28,0.288276074,0.3476670289999999,0.901619976,0.5125210263333333
29,0.437089169,0.6881683270000001,0.799514281,0.6415905923333334
30,0.303077835,0.7820433240000001,0.857208449,0.6474432026666667
