,Role_Toastmaster,Personal_Values_Facet_Cont_PowerDominance,Mean
0,0.530886685,0.356303593,0.443595139
1,0.349459256,0.34167488,0.34556706800000003
2,0.5556175879999999,0.3627913679999999,0.4592044779999999
3,0.329683641,0.350920732,0.3403021865
4,0.330916947,0.325093486,0.32800521650000003
5,0.4693263079999999,0.3429508089999999,0.4061385584999999
6,0.510937416,0.319987802,0.415462609
7,0.25595412,0.344265925,0.30011002249999996
8,0.35019483,0.358555425,0.3543751275
9,0.601269431,0.35727234,0.47927088549999997
10,0.6041420279999999,0.34354002,0.47384102399999994
11,0.476452714,0.345643343,0.4110480285
12,0.354756455,0.346856293,0.35080637400000003
13,0.531028003,0.34288204,0.4369550215
14,0.3867327,0.341434023,0.3640833615
15,0.333937482,0.338718636,0.336328059
16,0.509805837,0.340265836,0.4250358365
17,0.42569146,0.336302693,0.38099707650000003
18,0.5596786460000001,0.340429296,0.450053971
19,0.605269315,0.335774299,0.470521807
20,0.598947279,0.362739926,0.4808436025
21,0.278860386,0.343461909,0.3111611475
22,0.382439025,0.336648886,0.35954395549999996
23,0.336080499,0.33451092,0.3352957095
24,0.529491607,0.322911733,0.42620167
25,0.267049622,0.333999746,0.300524684
26,0.4427635279999999,0.33739516,0.390079344
27,0.545562444,0.348772162,0.44716730299999996
28,0.467059576,0.344240276,0.405649926
29,0.581178056,0.3366895479999999,0.458933802
30,0.421858289,0.342582295,0.38222029199999996
31,0.257481448,0.336656742,0.297069095
32,0.448068904,0.343352876,0.39571089
33,0.601269431,0.35727234,0.47927088549999997
34,0.5422289570000001,0.337561769,0.43989536300000004
35,0.645237315,0.332308365,0.48877284
36,0.46715852,0.358234546,0.412696533
37,0.654598205,0.339214809,0.496906507
38,0.304743553,0.328205354,0.31647445350000003
39,0.457494474,0.349414669,0.40345457149999997
40,0.390237166,0.3490498429999999,0.36964350449999994
41,0.7698805329999999,0.335359027,0.5526197799999999
42,0.447618937,0.343080796,0.39534986650000004
43,0.4905143839999999,0.3393544429999999,0.41493441349999993
44,0.558773077,0.335423457,0.447098267
45,0.585737607,0.346715984,0.4662267955
46,0.556146389,0.330631036,0.4433887125
47,0.528492185,0.351348758,0.43992047149999997
48,0.619394976,0.336611612,0.478003294
49,0.212676513,0.339593099,0.276134806
50,0.663667809,0.344657204,0.5041625064999999
51,0.422814271,0.333668235,0.378241253
