,Role_RightsDefender
504,0.367739711
505,0.525287839
506,0.533438607
507,0.492756595
508,0.559641971
509,0.545097084
510,0.575051643
511,0.489838042
512,0.187470917
513,0.492218607
514,0.568488688
515,0.533438607
516,0.334215919
517,0.450235447
518,0.562762291
519,0.533438607
520,0.224676701
521,0.533438607
522,0.599787645
523,0.6509524320000001
524,0.533438607
525,0.424487018
526,0.533438607
527,0.489588746
528,0.347598523
529,0.51657956
530,0.559641971
531,0.533438607
532,0.679575103
533,0.559641971
534,0.539456951
535,0.385090134
536,0.425288538
537,0.4570615079999999
538,0.559641971
539,0.415881892
540,0.533438607
541,0.498365774
542,0.23071913
543,0.599692924
544,0.533438607
545,0.541676367
546,0.566910885
547,0.533438607
548,0.48361117
549,0.559641971
550,0.559641971
551,0.449940076
552,0.533438607
553,0.533438607
554,0.652870061
555,0.533438607
556,0.324365277
557,0.533438607
558,0.604043216
559,0.559641971
560,0.694286237
561,0.2308458789999999
562,0.559641971
563,0.50384968
564,0.378662495
565,0.533438607
566,0.3415236129999999
567,0.569484439
568,0.533438607
569,0.277825427
570,0.4805093689999999
571,0.533438607
572,0.250681344
573,0.650173397
574,0.564410518
575,0.464980161
576,0.323847091
577,0.1958236689999999
578,0.478445499
579,0.580511303
580,0.378130804
581,0.559641971
582,0.575000388
583,0.533438607
584,0.533438607
585,0.335296462
586,0.505562111
587,0.533438607
588,0.616000639
589,0.533438607
590,0.533438607
591,0.533438607
592,0.387497502
593,0.533438607
594,0.394262039
595,0.407386081
596,0.533438607
597,0.452467527
598,0.642637248
599,0.38421213
600,0.314886895
601,0.356359092
602,0.421718331
603,0.39294312
604,0.58702721
605,0.677781925
606,0.533438607
607,0.584712824
608,0.533438607
609,0.449472222
610,0.455445521
611,0.403979402
612,0.432834831
613,0.426622038
614,0.390414557
615,0.386655361
616,0.559641971
617,0.477166635
618,0.559641971
619,0.533438607
620,0.533438607
621,0.392920803
622,0.391856927
623,0.435830721
624,0.566154607
625,0.268537481
626,0.335692342
627,0.559641971
628,0.533438607
629,0.449199749
630,0.559641971
