,Role_Assistant,Self_Esteem_Cont_SEDiscrepancy,Personal_Values_Facet_Cont_ConformityRules,Self_Esteem_Cont_SEAspirationIntelligence,Mean
0,0.426667777,0.3633213079999999,0.547591717,0.827352972,0.5412334435
1,0.148169303,0.282683354,0.4761145879999999,0.8737900740000001,0.44518932975000003
2,0.5785086660000001,0.6248287020000001,0.41987904,0.7774730559999999,0.600172366
3,0.033374747,0.325989956,0.570236841,0.839085095,0.44217165975
4,0.5932751789999999,0.434653707,0.549793584,0.7173382209999999,0.5737651727499999
5,0.1774553689999999,0.374978954,0.471848822,0.8299725729999999,0.4635639294999999
6,0.262497572,0.4781257129999999,0.529798089,0.702232527,0.49316347525
7,0.0,0.446818197,0.4546395029999999,0.792522562,0.4234950655
8,0.369075584,0.4789276329999999,0.509218621,0.790833766,0.537013901
9,0.528584576,0.6320441139999999,0.461981271,0.787775943,0.602596476
10,0.39343617,0.28418618,0.345600442,0.846246596,0.46736734700000004
11,0.214910705,0.368056617,0.610283877,0.849362588,0.51065344675
12,0.039540455,0.453626246,0.496806807,0.803314869,0.44832209425
13,0.5098658739999999,0.635474302,0.353043659,0.768868033,0.566812967
14,0.100259946,0.46345945,0.592077804,0.774316597,0.48252844924999994
15,0.09788861,0.501029987,0.513299855,0.807176195,0.47984866175
16,0.242385363,0.370259111,0.4303083179999999,0.8072125590000001,0.46254133775
17,0.125204706,0.373443356,0.491506327,0.8449237820000001,0.45876954275000004
18,0.4065414229999999,0.3207608369999999,0.549190498,0.7787883529999999,0.5138202777499999
19,0.374677018,0.4544264939999999,0.566710123,0.8505678990000001,0.5615953835
20,0.44925827,0.72078111,0.393048456,0.805907733,0.59224889225
21,0.0,0.315985535,0.589780964,0.7894308520000001,0.42379933775
22,0.084135555,0.475037936,0.539348243,0.8124880040000001,0.47775243450000004
23,0.071150664,0.31881883,0.460560331,0.848842557,0.4248430955
24,0.37470375,0.261450216,0.5889007470000001,0.8013908040000001,0.50661137925
25,0.0,0.370552769,0.5832394989999999,0.7814930179999999,0.43382132149999997
26,0.318185084,0.598274225,0.454605126,0.676708905,0.511943335
27,0.588786273,0.547520558,0.49750538,0.7627703659999999,0.5991456442499999
28,0.111339497,0.3676229829999999,0.521212924,0.728224702,0.4321000265
29,0.301160653,0.338768644,0.628026593,0.698163718,0.491529902
30,0.166481033,0.501424847,0.576294477,0.71782769,0.49050701175
31,0.0,0.511047487,0.559455468,0.780150208,0.46266329075
32,0.14022246,0.382374229,0.5623886539999999,0.814764035,0.4749373445
33,0.528584576,0.6320441139999999,0.461981271,0.787775943,0.602596476
34,0.220972283,0.3673916829999999,0.536787629,0.815000066,0.48503791524999995
35,0.508660856,0.163255443,0.5865710479999999,0.7693428790000001,0.5069575565
36,0.57530112,0.458806334,0.52873275,0.7389036040000001,0.5754359520000001
37,0.362018287,0.601417041,0.5949080729999999,0.8483364109999999,0.601669953
38,0.0,0.431566925,0.485812594,0.7996637790000001,0.4292608245
39,0.287315083,0.614690913,0.419108349,0.74014784,0.51531554625
40,0.363103963,0.60620229,0.328755416,0.7778409629999999,0.518975658
41,0.552715991,0.275046954,0.604165429,0.84165099,0.5683948409999999
42,0.0948240619999999,0.433325588,0.578950599,0.824399775,0.482875006
43,0.2101546839999999,0.417050793,0.5819504870000001,0.839917615,0.51226839475
44,0.271429462,0.408906076,0.537852024,0.831976532,0.5125410235
45,0.397330959,0.318811526,0.650609659,0.875057813,0.56045248925
46,0.521698071,0.6387726029999999,0.4324680079999999,0.759227375,0.58804151425
47,0.505875504,0.582643271,0.430606338,0.76787152,0.5717491582500001
48,0.4802212839999999,0.214004497,0.623747295,0.84826283,0.5415589765
49,0.0,0.497171512,0.6546595070000001,0.7923270179999999,0.48603950925
50,0.648257899,0.735559466,0.3695921129999999,0.7439218059999999,0.624332821
51,0.082190527,0.528494738,0.554573691,0.792750145,0.48950227525
52,0.5450238589999999,0.6322344320000001,0.394132966,0.69453177,0.56648075675
53,0.536838601,0.273482715,0.556004119,0.81500865,0.54533352125
54,0.423626382,0.441004099,0.491270987,0.645245282,0.5002866875
55,0.4117878439999999,0.527600926,0.476658454,0.759269726,0.5438292375
56,0.40555119,0.332029892,0.458517806,0.895775647,0.5229686337499999
57,0.5409620470000001,0.393378779,0.4919408389999999,0.8079018640000001,0.55854588225
58,0.124845441,0.451927406,0.519285615,0.767799004,0.4659643665
59,0.7018740440000001,0.597704735,0.6071822579999999,0.759202059,0.666490774
60,0.7323874640000001,0.267206833,0.5223617939999999,0.870664668,0.5981551897499999
61,0.646689885,0.293310281,0.463546972,0.8340708920000001,0.5594045075
62,0.5068438710000001,0.593802276,0.2707457769999999,0.537388745,0.47719516725
63,0.453872943,0.32873893,0.639585627,0.8230833120000001,0.561320203
64,0.065177656,0.405110632,0.579990169,0.760270938,0.45263734875000006
65,0.0,0.354295249,0.5299478329999999,0.8629424040000001,0.4367963715
66,0.444416582,0.423485462,0.537823935,0.840741085,0.561616766
67,0.2766521269999999,0.531716393,0.499773951,0.791177723,0.5248300485
68,0.27940057,0.333145959,0.56437133,0.8591436379999999,0.50901537425
69,0.118209945,0.399940766,0.545352011,0.801321823,0.46620613624999996
70,0.107703804,0.268397945,0.4977156339999999,0.884071047,0.4394721075
71,0.0,0.353216202,0.551484425,0.7816723879999999,0.42159325375
72,0.317422473,0.258488823,0.532533193,0.8875651370000001,0.49900240650000005
73,0.0,0.574265039,0.455946267,0.80105595,0.45781681399999996
74,0.0,0.574265039,0.455946267,0.80105595,0.45781681399999996
75,0.1937982989999999,0.3408782529999999,0.659157354,0.8756641890000001,0.51737452375
76,0.098425003,0.42980773,0.590134983,0.8255991779999999,0.4859917235
77,0.307877992,0.566519158,0.308790314,0.743279441,0.48161672624999996
78,0.4051183279999999,0.404476127,0.525692912,0.8695581509999999,0.5512113795
79,0.33790145,0.184785615,0.596573638,0.788298114,0.47688970425
80,0.0,0.518174046,0.532098428,0.819011805,0.46732106975
81,0.428172456,0.269553694,0.581057167,0.785107288,0.51597265125
82,0.509875767,0.185026866,0.570860121,0.830477591,0.52406008625
83,0.330814596,0.326245213,0.584957094,0.836726381,0.5196858209999999
84,0.303542918,0.261346857,0.453405881,0.789343235,0.45190972274999996
85,0.175869225,0.398142427,0.538257578,0.83331058,0.4863949525
86,0.23801833,0.313176143,0.6394163,0.854224254,0.51120875675
87,0.128527604,0.357240702,0.542583684,0.7596324309999999,0.44699610525
88,0.120870745,0.289993565,0.580588164,0.866355013,0.46445187175
89,0.242130147,0.28824759,0.527771631,0.862066384,0.480053938
90,0.49242573,0.269054454,0.480032076,0.815702129,0.51430359725
91,0.056879344,0.313963247,0.542701301,0.85261079,0.4415386705
92,0.303690002,0.241236781,0.62679894,0.813447577,0.496293325
93,0.01875579,0.341939742,0.513019804,0.8847462779999999,0.4396154035
94,0.519380122,0.550812328,0.575807074,0.874502868,0.630125598
95,0.429486949,0.396097365,0.59849552,0.824236036,0.5620789675
96,0.017286225,0.54230873,0.575690374,0.8408641809999999,0.4940373775
97,0.130204606,0.4177015229999999,0.5335731420000001,0.844251515,0.4814326965
98,0.363565295,0.248896405,0.564781018,0.776037876,0.4883201485
99,0.02085229,0.446071861,0.37575321,0.860942449,0.42590495250000004
100,0.294047758,0.343891829,0.5575942779999999,0.835040583,0.507643612
101,0.221708805,0.222594562,0.492940586,0.844857341,0.4455253235
