,Role_Charismatic,Personal_Values_Facet_Cont_Tradition,Self_Esteem_Cont_SELevelAppearance,Character_Facet_Cont_Assertiveness,Character_Facet_Cont_Cautiousness
0,0.408443922,0.318747333,0.684412412,0.4943844089999999,0.7519741640000001
1,0.407624418,0.3825936689999999,0.6354929229999999,0.468738263,0.571198092
2,0.4434533129999999,0.325262963,0.3986863029999999,0.515928894,0.309321691
3,0.408993968,0.440821023,0.703668961,0.516412242,0.535321962
4,0.135649946,0.405968121,0.439668497,0.586193315,0.567603721
5,0.549378461,0.357216628,0.645623064,0.579497367,0.593126637
6,0.481167303,0.4528578729999999,0.684451728,0.51362751,0.7058024759999999
7,0.346749156,0.352060394,0.7167023020000001,0.658008439,0.499600777
8,0.216937755,0.287123113,0.581757599,0.407217382,0.356794712
9,0.397342197,0.341651902,0.458655514,0.412746541,0.387027114
10,0.58666557,0.440419062,0.703445282,0.458322947,0.657743845
11,0.514547954,0.394332684,0.6931322670000001,0.478476943,0.439081845
12,0.409442,0.346955276,0.704393013,0.598065411,0.575174747
13,0.476390475,0.325475976,0.540889929,0.278765551,0.565664305
14,0.431379354,0.32161885,0.6450628979999999,0.504468621,0.527296289
15,0.455793215,0.312278526,0.6848371190000001,0.602629809,0.590487171
16,0.763920114,0.337044193,0.712828583,0.494719375,0.4456233189999999
17,0.494631691,0.329261336,0.750651361,0.538617452,0.7063286120000001
18,0.426889499,0.41513301,0.7573157840000001,0.401360487,0.556620723
19,0.7172019070000001,0.386779029,0.736254587,0.42684146,0.664826449
20,0.51950678,0.338222189,0.523276203,0.443343073,0.274074061
21,0.393990259,0.341903959,0.740998927,0.544261201,0.590579031
22,0.54489398,0.402524646,0.558339743,0.583228922,0.41037888
23,0.401965437,0.264437203,0.5588114510000001,0.6287942679999999,0.6959053279999999
24,0.414841171,0.400130339,0.7370388440000001,0.353034941,0.411171064
25,0.3554383,0.315208066,0.7443125890000001,0.683604647,0.630887168
26,0.435065557,0.3697438429999999,0.4141248329999999,0.310388837,0.259535692
27,0.409104562,0.378597196,0.518774427,0.3798438389999999,0.3683367039999999
28,0.6387125379999999,0.361410242,0.694359675,0.734239979,0.6226403939999999
29,0.689875883,0.353560112,0.679237561,0.48636578,0.531278159
30,0.560043231,0.291945902,0.650227552,0.568416924,0.910022359
31,0.3565424579999999,0.50708202,0.594262569,0.615273364,0.54976242
32,0.5532120620000001,0.314899634,0.710572448,0.5814460029999999,0.611960521
33,0.397342197,0.341651902,0.458655514,0.412746541,0.387027114
34,0.606592909,0.320501561,0.7379543270000001,0.583282266,0.67182894
35,0.551747879,0.388601044,0.508043438,0.453504093,0.587288705
36,0.220451083,0.370459332,0.484642511,0.330548458,0.487494747
37,0.681820839,0.33522545,0.74389587,0.51031831,0.708758859
38,0.443147403,0.253775801,0.6031789479999999,0.645105589,0.555451139
39,0.429462478,0.365142867,0.491356684,0.3097617689999999,0.4920813089999999
40,0.258967778,0.24837811,0.502627046,0.4150943279999999,0.412711293
