,Role_Coach
557,0.5037116460000001
558,0.22331439
559,0.152212617
560,0.2232868539999999
561,0.026888215
562,0.152212617
563,0.11580637
564,0.050761129
565,0.5037116460000001
566,0.0
567,0.197600838
568,0.5037116460000001
569,0.0
570,0.630590456
571,0.5037116460000001
572,0.0
573,0.436765863
574,0.2081630739999999
575,0.043449204
576,0.0
577,0.170792508
578,0.066587287
579,0.187105971
580,0.06704315
581,0.152212617
582,0.240557543
583,0.5037116460000001
584,0.5037116460000001
585,0.0
586,0.1848500139999999
587,0.5037116460000001
588,0.183652975
589,0.5037116460000001
590,0.5037116460000001
591,0.5037116460000001
592,0.468797417
593,0.5037116460000001
594,0.0
595,0.314186772
596,0.5037116460000001
597,0.0872857309999999
598,0.253401777
599,0.084300139
600,0.0
601,0.0
602,0.41876588
603,0.006360576
604,0.389553981
605,0.2176381339999999
606,0.5037116460000001
607,0.182938856
608,0.5037116460000001
609,0.06732922
610,0.058043512
611,0.0
612,0.0852391369999999
613,0.067750814
614,0.386473961
615,0.018189876
616,0.152212617
617,0.116641544
618,0.152212617
619,0.5037116460000001
620,0.5037116460000001
621,0.0
622,0.0
623,0.211927444
624,0.331029615
625,0.0
626,0.333946321
627,0.152212617
628,0.5037116460000001
629,0.4163770979999999
630,0.152212617
