,Role_Marshal,Self_Esteem_Cont_SELevelAchievements,Self_Esteem_Cont_SEDiscrepancySociability,Personal_Values_Cont_SelfEnhancement,Self_Esteem_Cont_SEAspiration,Mean,Mean_RoleMarshal
0,0.620860476,0.60585757,0.47333535,0.303075866,0.8819363929999999,0.577013131,0.5770131310000001
1,0.486199546,0.490159766,0.579283201,0.298713976,0.860850675,0.5430414328,0.5430414328
2,0.177482905,0.189998585,0.510045861,0.231112826,0.805829736,0.3828939826,0.3828939826
3,0.738135214,0.378579411,0.50408765,0.297082723,0.8860729909999999,0.5607915978,0.5607915977999999
4,0.203801017,0.628431007,0.4236133829999999,0.2768132789999999,0.829868388,0.4725054147999999,0.4725054148
5,0.768608845,0.538229272,0.512187987,0.30120551,0.890176669,0.6020816566,0.6020816566000001
6,0.780436791,0.50295609,0.627205083,0.293989393,0.8261130740000001,0.6061400862,0.6061400862
7,0.798226648,0.535560064,0.648250491,0.3056086189999999,0.878382274,0.6332056192,0.6332056192
8,0.335576627,0.406943163,0.6917669559999999,0.239436666,0.865768141,0.5078983106,0.5078983106
9,0.4873434,0.2441418289999999,0.4568848339999999,0.242600425,0.875690381,0.4613321737999999,0.46133217379999997
10,0.6420030210000001,0.474678589,0.569143259,0.304240727,0.8170516520000001,0.5614234496000001,0.5614234496
11,0.663963746,0.4890175989999999,0.397581092,0.30223112,0.7069799729999999,0.511954706,0.511954706
12,0.8566972890000001,0.495351301,0.517943178,0.292380884,0.895362214,0.6115469732000001,0.6115469732
13,0.526577328,0.247113657,0.425055378,0.249869738,0.871437076,0.4640106353999999,0.4640106353999999
14,0.8411354090000001,0.495351301,0.587653904,0.2965442889999999,0.888992789,0.6219355384,0.6219355383999999
15,0.7486934009999999,0.46786832,0.615271075,0.294874535,0.8279722759999999,0.5909359214000001,0.5909359214
16,0.5303405720000001,0.336343864,0.550979807,0.292092161,0.8579481520000001,0.5135409112,0.5135409112000001
17,0.797894054,0.4518989879999999,0.553436354,0.294913978,0.892369438,0.5981025623999999,0.5981025623999999
18,0.3678172779999999,0.529295456,0.538996913,0.286623749,0.8744834659999999,0.5194433723999999,0.5194433723999999
19,0.351712429,0.474334563,0.470771299,0.29267992,0.893330007,0.4965656436,0.49656564359999994
20,0.541799041,0.320046192,0.514502121,0.240486551,0.8764223870000001,0.4986512583999999,0.49865125839999996
21,0.787863512,0.554615781,0.420294212,0.288768538,0.882446359,0.5867976803999999,0.5867976804
22,0.668176978,0.478822837,0.598010649,0.2989571139999999,0.8651940459999999,0.5818323247999999,0.5818323248
23,0.845301906,0.532779174,0.597991543,0.2894710339999999,0.8429529720000001,0.6216993258,0.6216993258
24,0.309535768,0.4890175989999999,0.425694466,0.29884191,0.929484478,0.4905148441999999,0.49051484419999997
25,0.7860690090000001,0.2561329,0.555009825,0.305018811,0.817564491,0.5439590072,0.5439590071999999
