,Role_Healer
0,0.595265843
1,0.356446775
2,0.5828969589999999
3,0.2670622689999999
4,0.570800021
5,0.417187842
6,0.467708622
7,0.22271157
8,0.4526693579999999
9,0.603614553
10,0.614673092
11,0.430663895
12,0.265286008
13,0.763824539
14,0.3292515139999999
15,0.376082097
16,0.5114423579999999
17,0.358270405
18,0.4740878879999999
19,0.543666407
20,0.624074248
21,0.21893044
22,0.343132183
23,0.318179388
24,0.432067227
25,0.21460798
26,0.481671556
27,0.754507342
28,0.351178102
29,0.550472135
30,0.4437339079999999
31,0.224125784
32,0.3844033089999999
33,0.603614553
34,0.424805456
35,0.629263518
36,0.539044889
37,0.541425615
38,0.203613065
39,0.437631964
40,0.391836229
41,0.6226793420000001
42,0.32795966
43,0.471058994
44,0.4990877929999999
45,0.582151026
46,0.593625547
47,0.4839661329999999
48,0.631368515
49,0.130897782
50,0.7235442590000001
51,0.319337007
52,0.6583077589999999
53,0.6487619689999999
54,0.579199476
55,0.459327469
56,0.479124571
57,0.664704379
58,0.334141067
59,0.646168517
60,0.6788840620000001
61,0.6607740639999999
62,0.6871147790000001
63,0.617429618
64,0.266150478
65,0.254405531
66,0.591857168
67,0.5070639029999999
68,0.513495473
69,0.361425551
70,0.323088389
71,0.166748248
72,0.48030674
73,0.090219581
74,0.090219581
75,0.4317749829999999
76,0.360292689
77,0.572164628
78,0.599837223
79,0.496550385
80,0.248521091
81,0.594377511
82,0.5725124420000001
83,0.5532043529999999
84,0.508050204
85,0.42135057
86,0.4677762079999999
87,0.403781075
88,0.3341457889999999
89,0.4577430429999999
90,0.52599224
91,0.289132953
92,0.549099864
93,0.258048042
94,0.6827731890000001
95,0.63321691
96,0.250165582
97,0.396490112
98,0.532336751
99,0.283267092
100,0.528002023
101,0.46912801
102,0.651826273
103,0.557734828
104,0.40884983
105,0.4176715029999999
106,0.3994882939999999
107,0.371344909
108,0.632230253
109,0.6989720640000001
110,0.510330561
111,0.40050994
112,0.5812948379999999
113,0.340123742
114,0.386297996
115,0.4374038729999999
116,0.380067826
117,0.635457632
118,0.655943136
119,0.565861461
120,0.5545704779999999
121,0.5253413579999999
122,0.431740749
123,0.36230857
124,0.509664095
125,0.512186275
126,0.457009045
127,0.428899729
128,0.1661868819999999
129,0.498786841
130,0.6513011
131,0.7069045840000001
132,0.464307459
133,0.4192707479999999
134,0.471523465
135,0.664742226
136,0.63378727
137,0.540137375
138,0.6520807479999999
139,0.203362825
140,0.571255198
141,0.628554168
142,0.501373256
143,0.285482474
144,0.545631462
145,0.459102574
146,0.5920447520000001
147,0.330136626
148,0.68579978
149,0.4253370279999999
150,0.575899696
151,0.400421091
152,0.520755642
153,0.360205459
154,0.603614553
155,0.23353245
156,0.3921919989999999
157,0.505829711
158,0.429224407
159,0.488820115
160,0.221416578
161,0.300032603
162,0.253478056
163,0.606128807
164,0.605464475
165,0.290030425
166,0.6835866420000001
167,0.54492931
168,0.649923711
169,0.376203535
170,0.6313784029999999
171,0.674473812
172,0.2739843389999999
173,0.372429293
174,0.412151993
175,0.6466937110000001
176,0.69266456
