,Role_Advisor,Self_Esteem_Cont_SELevelOriginality,Mean
0,0.577659966,0.7287693609999999,0.6532146635
1,0.2395504269999999,0.771000628,0.5052755274999999
2,0.4906986929999999,0.546902104,0.5188003984999999
3,0.232493227,0.747797312,0.4901452695
4,0.558525122,0.61821689,0.588371006
5,0.378832884,0.700158012,0.539495448
6,0.442233985,0.640583586,0.5414087855
7,0.242097691,0.703517098,0.4728073945
8,0.413637126,0.7466159720000001,0.580126549
9,0.593427358,0.6784150729999999,0.6359212155
10,0.524377013,0.636535084,0.5804560485
11,0.3625211339999999,0.74874122,0.555631177
12,0.279948087,0.807874765,0.543911426
13,0.781778752,0.609356769,0.6955677605
14,0.326017765,0.671014353,0.498516059
15,0.4619147629999999,0.704244474,0.5830796185
16,0.456648802,0.731161185,0.5939049935
17,0.4052751539999999,0.7593876140000001,0.582331384
18,0.324272717,0.727391311,0.525832014
19,0.481277322,0.703561978,0.59241965
20,0.537723858,0.585740649,0.5617322535
21,0.256918791,0.738500426,0.4977096085
22,0.312045598,0.73258343,0.5223145140000001
23,0.328744292,0.7180973409999999,0.5234208164999999
24,0.274020511,0.73609571,0.5050581105
25,0.305396702,0.823875162,0.5646359320000001
26,0.390165806,0.72733177,0.558748788
27,0.7361764059999999,0.544888005,0.6405322055
28,0.343331503,0.8414362329999999,0.592383868
29,0.477364561,0.7323374029999999,0.604850982
30,0.427438616,0.822866386,0.625152501
31,0.2457877289999999,0.786955097,0.5163714129999999
32,0.360360819,0.7098312259999999,0.5350960225
33,0.593427358,0.6784150729999999,0.6359212155
34,0.4092493239999999,0.7276089170000001,0.5684291205
35,0.45120296,0.666501999,0.5588524794999999
36,0.542867487,0.503636494,0.5232519904999999
37,0.480045531,0.681942697,0.580994114
38,0.2344000239999999,0.741768377,0.48808420049999995
39,0.317095289,0.669860015,0.49347765200000004
40,0.275996839,0.607450277,0.44172355799999996
41,0.450941306,0.766810674,0.60887599
42,0.317669568,0.727794752,0.52273216
43,0.4706442729999999,0.723299551,0.5969719119999999
44,0.435688652,0.7765976259999999,0.6061431389999999
45,0.5698903160000001,0.6393601329999999,0.6046252245
46,0.528894017,0.6866091790000001,0.6077515980000001
47,0.42097422,0.566100422,0.49353732100000003
48,0.559020651,0.6504496,0.6047351255
49,0.169517701,0.7824544240000001,0.47598606250000003
50,0.563353972,0.648405519,0.6058797455
51,0.339875857,0.724271765,0.5320738110000001
52,0.570829342,0.523681327,0.5472553345
53,0.454728089,0.738235628,0.5964818585
54,0.570005942,0.606720254,0.588363098
55,0.388974592,0.661751423,0.5253630075
56,0.430697681,0.6930331240000001,0.5618654025
57,0.631089084,0.768384297,0.6997366905
58,0.2840745939999999,0.795799128,0.5399368609999999
59,0.46180238,0.477403306,0.469602843
60,0.50061778,0.753603151,0.6271104654999999
61,0.466214422,0.7641568459999999,0.6151856339999999
62,0.528442402,0.624982632,0.576712517
63,0.542738234,0.69134117,0.617039702
64,0.242237523,0.7610055640000001,0.5016215435
65,0.297316061,0.763544945,0.530430503
66,0.467816081,0.716286187,0.592051134
67,0.401242471,0.7335257079999999,0.5673840895
68,0.4645803839999999,0.731118369,0.5978493764999999
69,0.342732359,0.609066485,0.475899422
70,0.359109723,0.660445556,0.5097776395
71,0.156091068,0.6426718029999999,0.39938143549999994
72,0.398461665,0.7384782059999999,0.5684699355
73,0.1241874069999999,0.530919534,0.32755347049999994
74,0.1241874069999999,0.530919534,0.32755347049999994
75,0.438394623,0.8201037959999999,0.6292492095
76,0.358938485,0.778999563,0.5689690239999999
77,0.485396555,0.624543563,0.554970059
78,0.583528406,0.779505778,0.681517092
79,0.437270979,0.664998835,0.551134907
80,0.266467555,0.770472385,0.5184699700000001
81,0.5609679879999999,0.72465449,0.642811239
82,0.440367351,0.8418763029999999,0.641121827
83,0.5957229629999999,0.649486495,0.622604729
84,0.401681651,0.675871201,0.538776426
85,0.3833022029999999,0.68956462,0.5364334114999999
86,0.406215916,0.76260613,0.584411023
87,0.374940169,0.716734118,0.5458371435
88,0.321143735,0.7835535,0.5523486175
89,0.412532038,0.794818584,0.603675311
90,0.357025546,0.680532074,0.51877881
91,0.294206378,0.713104161,0.5036552695
92,0.475340548,0.745190557,0.6102655525
93,0.270883282,0.7305046940000001,0.5006939880000001
94,0.5015199,0.808316824,0.6549183620000001
95,0.545663391,0.7613065809999999,0.653484986
96,0.19611422,0.81044114,0.5032776800000001
97,0.399940822,0.705101512,0.552521167
98,0.3888477079999999,0.825564009,0.6072058585
99,0.289296136,0.7240908970000001,0.5066935165
100,0.487675819,0.733039718,0.6103577685
101,0.470657386,0.673643129,0.5721502575
102,0.668487037,0.540334402,0.6044107195
103,0.459174865,0.826598098,0.6428864814999999
104,0.351615523,0.7254391440000001,0.5385273335
