,Role_WiseMan,Self_Esteem_Cont_SEDiscrepancyConfidence,Mean
0,0.7142298709999999,0.7578221509999999,0.7360260109999999
1,0.486979501,0.5398377679999999,0.5134086345
2,0.397466955,0.601333738,0.4994003465
3,0.376739087,0.484409269,0.430574178
4,0.626009014,0.498036152,0.562022583
5,0.4806071189999999,0.611352455,0.5459797869999999
6,0.564577929,0.476705492,0.5206417105000001
7,0.317750576,0.496374507,0.4070625415
8,0.548870011,0.448500128,0.4986850695
9,0.612331946,0.525720788,0.569026367
10,0.674786507,0.503894038,0.5893402725
11,0.5140951770000001,0.515765538,0.5149303575
12,0.339408116,0.48497925,0.412193683
13,0.731498744,0.517791447,0.6246450955
14,0.42142382,0.5070843939999999,0.46425410699999997
15,0.373300225,0.534333931,0.45381707800000004
16,0.422557427,0.471113213,0.44683532
17,0.364272496,0.613249133,0.4887608145
18,0.533585223,0.484293959,0.508939591
19,0.360004666,0.376500401,0.3682525335
20,0.659192503,0.596526021,0.627859262
21,0.266010811,0.569142355,0.417576583
22,0.372775321,0.577472063,0.475123692
23,0.41681039,0.654615571,0.5357129805
24,0.471530159,0.4956692629999999,0.483599711
25,0.232748231,0.648361996,0.4405551135
26,0.499003092,0.669715738,0.584359415
27,0.763725859,0.5323673170000001,0.648046588
28,0.321146365,0.766863087,0.544004726
29,0.551146055,0.400568796,0.4758574255
30,0.481618455,0.549291279,0.515454867
31,0.313385063,0.489408841,0.40139695200000003
32,0.428462868,0.627075044,0.5277689560000001
33,0.612331946,0.525720788,0.569026367
34,0.3920877479999999,0.481345773,0.43671676049999997
35,0.637154978,0.491311327,0.5642331525
36,0.564837617,0.525720788,0.5452792025
37,0.458229934,0.530085595,0.4941577645
38,0.221843885,0.582606312,0.4022250985
39,0.5169664310000001,0.66153066,0.5892485455
40,0.4279804929999999,0.540715045,0.484347769
41,0.5564178120000001,0.405531895,0.4809748535
42,0.327853889,0.472415294,0.40013459149999997
43,0.453890152,0.537161242,0.49552569700000004
44,0.53964334,0.7745367759999999,0.657090058
45,0.400116186,0.4760215339999999,0.43806885999999995
46,0.542432757,0.5472717979999999,0.5448522775
47,0.487447203,0.450144865,0.46879603400000003
48,0.59242536,0.497490622,0.544957991
49,0.1859717619999999,0.6344135670000001,0.41019266449999997
50,0.70877746,0.586185045,0.6474812525
51,0.306734571,0.647998335,0.477366453
52,0.685491592,0.568976798,0.627234195
53,0.623804254,0.475076303,0.5494402785
54,0.5649481679999999,0.582964512,0.57395634
55,0.5152458360000001,0.508448328,0.5118470820000001
56,0.60846613,0.4511855179999999,0.529825824
57,0.6905026390000001,0.45734316,0.5739228995000001
58,0.43458925,0.587056668,0.510822959
59,0.62995349,0.6288405770000001,0.6293970335000001
60,0.58475383,0.523072458,0.553913144
61,0.7282162740000001,0.427019456,0.5776178650000001
62,0.6692639429999999,0.644364001,0.6568139719999999
63,0.641007381,0.531630773,0.586319077
64,0.393019047,0.556452846,0.4747359465
65,0.276187113,0.552451874,0.41431949349999997
66,0.48723648,0.480358052,0.483797266
67,0.560443404,0.5103618129999999,0.5354026085
68,0.503376377,0.474554086,0.48896523150000004
