,Role_Philanthropist,Personal_Values_Facet_Cont_SelfDirectionAction,Mean,Mean_RolePhilanthropist
0,0.6909378740000001,0.488144007,0.5895409405,0.5895409405
1,0.320647913,0.483453584,0.4020507485,0.4020507485
2,0.1721160839999999,0.552368771,0.3622424274999999,0.36224242749999996
3,0.458404537,0.449759515,0.454082026,0.454082026
4,0.359047736,0.554441903,0.4567448195,0.45674481950000007
5,0.528210368,0.4351775579999999,0.4816939629999999,0.48169396299999995
6,0.624460105,0.480994683,0.552727394,0.552727394
7,0.476560092,0.4439055389999999,0.4602328154999999,0.46023281549999995
8,0.29034379,0.59445558,0.442399685,0.442399685
9,0.484468904,0.582030457,0.5332496805,0.5332496805
10,0.599068658,0.457124731,0.5280966945,0.5280966945
11,0.452587079,0.4006023529999999,0.426594716,0.42659471600000004
12,0.491545223,0.652870407,0.572207815,0.572207815
13,0.6345419729999999,0.568841739,0.601691856,0.601691856
14,0.532474918,0.5196760229999999,0.5260754704999999,0.5260754704999999
15,0.571736604,0.4497783979999999,0.510757501,0.510757501
16,0.4038677539999999,0.6059602820000001,0.504914018,0.504914018
17,0.490626982,0.482471032,0.486549007,0.48654900700000003
18,0.279086508,0.387260215,0.3331733615,0.3331733615
19,0.278098056,0.640964332,0.459531194,0.459531194
20,0.475283305,0.601963809,0.538623557,0.538623557
21,0.529553586,0.457170997,0.4933622915,0.4933622915
22,0.392018986,0.527487826,0.459753406,0.459753406
23,0.55578994,0.5300233,0.54290662,0.54290662
24,0.205140638,0.480088301,0.3426144694999999,0.34261446949999996
25,0.4810748729999999,0.342512972,0.4117939224999999,0.41179392249999996
26,0.25995365,0.529564657,0.3947591535,0.39475915350000007
27,0.599004446,0.566635754,0.5828201,0.5828201
28,0.432444991,0.549263135,0.490854063,0.490854063
29,0.542276659,0.466015556,0.5041461075,0.5041461075
30,0.534958276,0.510536985,0.5227476305000001,0.5227476305000001
31,0.5190189510000001,0.42671525,0.4728671005,0.4728671005
32,0.493946976,0.5673521029999999,0.5306495394999999,0.5306495394999999
33,0.484468904,0.582030457,0.5332496805,0.5332496805
34,0.391113329,0.558265142,0.4746892355,0.4746892354999999
35,0.369966866,0.367633004,0.3687999349999999,0.36879993499999997
36,0.383184855,0.539385734,0.4612852945,0.46128529449999994
37,0.37685041,0.515182605,0.4460165075,0.4460165075
38,0.4077947189999999,0.473716412,0.4407555654999999,0.44075556549999995
39,0.28732956,0.578056379,0.4326929694999999,0.43269296949999997
40,0.124974516,0.582952982,0.353963749,0.353963749
41,0.347661469,0.428997811,0.38832964,0.38832964000000003
42,0.417570999,0.612039136,0.5148050675,0.5148050675
43,0.511487578,0.492854387,0.5021709825,0.5021709825
44,0.527514881,0.441238696,0.4843767885,0.48437678849999993
45,0.3375435679999999,0.4251178539999999,0.3813307109999999,0.38133071099999993
46,0.309318437,0.5792627020000001,0.4442905695,0.44429056949999995
47,0.262805885,0.580358245,0.421582065,0.421582065
48,0.408197211,0.394917602,0.4015574065,0.4015574065
