,Role_Guru,Personal_Values_Facet_Cont_SelfDirectionThought,Temperament_Phlegmatic,Personal_Values_Facet_Cont_Reputation,Mean,Mean_RoleGuru
507,0.401896401,0.267814127,0.75,0.236546165,0.41406417325,0.41406417324999995
508,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
509,0.4434292589999999,0.219313444,0.25,0.542744702,0.36387185125,0.36387185124999993
510,0.467519069,0.303495119,0.25,0.549924275,0.39273461575,0.39273461575
511,0.435797967,0.346144336,0.5,0.45156177,0.43337601825,0.4333760182500001
512,0.271219359,0.297330677,0.5,0.360286276,0.357209078,0.35720907799999996
513,0.4177688989999999,0.25712187,0.0,0.446502386,0.2803482887499999,0.28034828874999995
514,0.496008556,0.172429798,0.25,0.462046761,0.34512127875,0.34512127875
515,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
516,0.2920189039999999,0.220327209,0.5,0.402134571,0.353620171,0.353620171
517,0.333845255,0.307246856,0.5,0.416939656,0.38950794175,0.38950794175000003
518,0.491110426,0.267814127,0.5,0.341584251,0.400127201,0.40012720100000004
519,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
520,0.2443974669999999,0.310385621,0.5,0.3895776629999999,0.3610901877499999,0.3610901877499999
521,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
522,0.588412778,0.3441163779999999,0.5,0.410211925,0.46068527025,0.46068527025
523,0.588810376,0.139589265,0.5,0.329703149,0.3895256975,0.38952569749999993
524,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
525,0.438052636,0.284292972,0.5,0.392505095,0.4037126757499999,0.40371267574999997
526,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
527,0.45690385,0.322727408,0.5,0.246434926,0.381516546,0.381516546
528,0.291927069,0.307246856,0.5,0.425212496,0.38109660525,0.38109660525
529,0.616688201,0.405616153,0.0,0.151585732,0.2934725215,0.2934725215
530,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
531,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
532,0.659526824,0.328635826,0.25,0.2449161769999999,0.37076970675,0.37076970675
533,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
534,0.456316788,0.2582066719999999,0.25,0.380765819,0.33632231975,0.33632231975
535,0.37279694,0.342308621,0.25,0.403902411,0.342251993,0.34225199300000003
536,0.344959763,0.2141592939999999,0.0,0.519165243,0.269571075,0.269571075
537,0.467816297,0.274760417,0.5,0.457732187,0.4250772252499999,0.4250772252499999
538,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
539,0.3944217539999999,0.261467796,0.5,0.483987791,0.40996933525,0.40996933525
540,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
541,0.422472086,0.307246856,0.25,0.258116103,0.30945876125,0.30945876125
542,0.217417188,0.456555624,0.0,0.323387301,0.24934002825,0.24934002825
543,0.450560988,0.263372841,0.5,0.438882876,0.41320417625,0.41320417625
544,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
545,0.5544237470000001,0.289203098,0.5,0.291842041,0.4088672215,0.40886722150000004
546,0.5035349689999999,0.307246856,0.5,0.291363305,0.4005362824999999,0.4005362825
547,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
548,0.396620883,0.384571566,0.25,0.265419949,0.3241530995,0.3241530995
549,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
550,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
551,0.348552161,0.203673548,0.25,0.454066252,0.31407299025,0.3140729902500001
552,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
553,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
554,0.589423948,0.307246856,0.0,0.224300506,0.2802428275,0.2802428275
555,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
556,0.269123835,0.220327209,0.5,0.51250519,0.3754890585,0.3754890585
557,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
558,0.5252959629999999,0.267390364,0.25,0.3488790989999999,0.3478913564999999,0.3478913564999999
559,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
560,0.537893197,0.216827426,0.0,0.246929245,0.250412467,0.250412467
561,0.196646545,0.294435676,0.5,0.4611305329999999,0.3630531884999999,0.3630531884999999
562,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
563,0.4152317179999999,0.299637482,0.25,0.48900735,0.3634691375,0.36346913750000004
564,0.371837655,0.378551121,0.0,0.626570735,0.34423987775,0.34423987775
565,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
566,0.317905169,0.1877743089999999,0.0,0.239608825,0.1863220757499999,0.18632207574999995
567,0.516538712,0.2285482519999999,0.5,0.4795877329999999,0.4311686742499999,0.4311686742499999
568,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
569,0.269930488,0.307246856,0.0,0.335281297,0.22811466025,0.22811466025000002
570,0.602467227,0.25058133,0.75,0.399552614,0.50065029275,0.50065029275
571,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
572,0.273868613,0.272174943,0.0,0.34346525,0.2223772015,0.22237720150000004
573,0.6131869289999999,0.272411138,0.25,0.425232922,0.3902077472499999,0.3902077472499999
574,0.4767430079999999,0.256392525,0.25,0.42193574,0.35126781825,0.35126781825
575,0.362606701,0.203673548,0.25,0.383957045,0.3000593235,0.3000593235
576,0.29681192,0.258637532,0.5,0.341465365,0.3492287042499999,0.34922870424999997
577,0.2635883539999999,0.297330677,0.5,0.379646261,0.3601413229999999,0.36014132299999996
578,0.35869482,0.294085033,0.25,0.29339344,0.29904332325,0.29904332325
579,0.496545625,0.227909315,0.25,0.3897060779999999,0.3410402545,0.3410402545
580,0.394239837,0.313043526,0.25,0.494458464,0.36293545675,0.36293545675
581,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
582,0.521609248,0.249937222,0.25,0.412436663,0.35849578325,0.35849578325
583,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
584,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
585,0.248779671,0.220327209,0.5,0.494708,0.36595372,0.36595372
586,0.437288236,0.282113447,0.25,0.42193574,0.34783435575,0.34783435574999994
587,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
588,0.510372388,0.277498009,0.5,0.2392163139999999,0.3817716777499999,0.3817716777499999
589,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
590,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
591,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
592,0.523051565,0.266132049,0.5,0.4651528629999999,0.43858411925,0.43858411925
593,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
594,0.3457191189999999,0.222904507,0.25,0.457362001,0.3189964067499999,0.31899640674999996
595,0.522566657,0.36703564,0.75,0.561900568,0.55037571625,0.55037571625
596,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
597,0.358556504,0.3425442429999999,0.0,0.424598793,0.2814248849999999,0.2814248849999999
598,0.601672233,0.396276655,0.25,0.4200490079999999,0.4169994739999999,0.41699947399999987
599,0.355539105,0.302156322,0.25,0.574133804,0.3704573077499999,0.37045730774999996
600,0.28803029,0.235991195,0.0,0.564447203,0.2721171719999999,0.27211717199999996
601,0.323874551,0.258637532,0.0,0.424823097,0.251833795,0.251833795
602,0.5476828979999999,0.259543724,0.75,0.4664738879999999,0.5059251275,0.5059251275
603,0.361763377,0.4555286,0.25,0.4000656279999999,0.36683940125,0.36683940125
604,0.644480222,0.21268826,0.5,0.274288607,0.40786427225,0.40786427224999994
605,0.549095673,0.326278361,0.0,0.537743128,0.3532792905,0.3532792905
606,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
607,0.4986673379999999,0.14028739,0.0,0.284935902,0.2309726574999999,0.23097265749999996
608,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
609,0.378114232,0.329345743,0.0,0.319305544,0.25669137975,0.25669137974999995
610,0.409329621,0.220327209,0.25,0.447779575,0.3318591012499999,0.3318591012499999
611,0.2983974689999999,0.3451388379999999,0.25,0.429396586,0.3307332232499999,0.33073322324999993
612,0.43566336,0.345505227,0.25,0.4345857729999999,0.36643859,0.36643859
613,0.392237228,0.227748657,0.0,0.233336171,0.213330514,0.213330514
614,0.620050423,0.29564409,1.0,0.379417397,0.5737779775,0.5737779774999999
615,0.3629636579999999,0.249389438,0.25,0.280800748,0.285788461,0.28578846100000005
616,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
617,0.406219592,0.260587048,0.0,0.63650605,0.3258281725,0.3258281725
618,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
619,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
620,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
621,0.350949031,0.220327209,0.0,0.2551776189999999,0.2066134647499999,0.20661346474999998
622,0.267471762,0.262453911,0.0,0.4737492829999999,0.2509187389999999,0.2509187389999999
623,0.3753214789999999,0.25577471,0.5,0.191932971,0.33075729,0.33075729
624,0.5781375670000001,0.348438087,0.75,0.417176472,0.5234380315,0.5234380315
625,0.26612054,0.337102102,0.0,0.471550494,0.268693284,0.268693284
626,0.371644844,0.26191073,0.75,0.4385787779999999,0.4555335879999999,0.45553358799999993
627,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
628,0.649759834,0.244408323,0.5,0.36058655,0.43868867675,0.43868867675
629,0.6400391910000001,0.255363425,0.75,0.391115622,0.5091295595,0.5091295594999999
630,0.485377248,0.316930738,0.0,0.265469676,0.2669444155,0.2669444155
