,Role_Deputy,Personal_Values_Cont_OpennessToChange,Character_Facet_Cont_Morality,Character_Facet_Cont_Depression,Mean
0,0.516859478,0.303908732,0.553543741,0.771031494,0.53633586125
1,0.26329172,0.309062364,0.3527001729999999,0.462166375,0.346805158
2,0.302466185,0.295548653,0.6577725170000001,0.753034737,0.502205523
3,0.126136163,0.299255177,0.155549543,0.558339029,0.28481997800000003
4,0.671446467,0.294529942,0.34631835,0.458808277,0.442775759
5,0.2114667999999999,0.300477303,0.2291302439999999,0.585956809,0.33175778899999997
6,0.335300631,0.305117052,0.400785646,0.622908135,0.41602786599999997
7,0.0461205379999999,0.294902031,0.202460865,0.643564585,0.29676200475
8,0.47700256,0.302865269,0.505844622,0.599664667,0.4713442795
9,0.519183838,0.279882428,0.618865123,0.663352775,0.520321041
10,0.415525039,0.302359731,0.314057667,0.624917568,0.41421500125
11,0.2734500019999999,0.303699983,0.290571201,0.433694432,0.3253539045
12,0.094700275,0.300292954,0.267286147,0.7178180690000001,0.34502436125
13,0.44980771,0.2947798889999999,0.58213636,0.7244524999999999,0.5127941147499999
14,0.171656117,0.301745472,0.273047571,0.642754539,0.34730092475
15,0.059266926,0.2991855419999999,0.327046498,0.579959376,0.3163645855
16,0.118155541,0.305963315,0.250577793,0.678524352,0.33830525025
17,0.100788951,0.295033881,0.218604388,0.651334221,0.31644036025
18,0.469234075,0.309242318,0.433469614,0.590566649,0.45062816400000005
19,0.139060125,0.30040585,0.3642233789999999,0.569366577,0.34326398275
20,0.454937956,0.283153813,0.530447942,0.6347286,0.47581707774999993
21,0.0,0.299371083,0.210979229,0.652371273,0.29068039625
22,0.081818134,0.308886614,0.253020984,0.734291848,0.344504395
23,0.145786542,0.3115763239999999,0.218075706,0.67800007,0.3383596605
24,0.413192754,0.311304974,0.292874633,0.564312302,0.39542116575
25,0.0,0.298794798,0.214557186,0.6973340840000001,0.30267151700000006
26,0.310458429,0.301284205,0.623924598,0.703092426,0.4846899145
27,0.564983812,0.2878592339999999,0.53686732,0.572285038,0.490498851
28,0.046279687,0.30406193,0.240269767,0.79468687,0.3463245635
29,0.267751698,0.308533893,0.3545003779999999,0.528496627,0.364820649
30,0.167751313,0.300322187,0.470406122,0.550812553,0.37232304375
31,0.036675926,0.302217781,0.212378886,0.559181987,0.27761364499999996
32,0.154643597,0.303780982,0.236006302,0.6241044170000001,0.3296338245
33,0.519183838,0.279882428,0.618865123,0.663352775,0.520321041
34,0.1555079359999999,0.301236596,0.323180498,0.494132662,0.318514423
35,0.491394875,0.304970883,0.390698525,0.529385257,0.42911238500000004
36,0.6102395820000001,0.293268431,0.585788072,0.652023334,0.5353298547500001
37,0.242660822,0.302415438,0.325782757,0.648320301,0.3797948295
38,0.0,0.301254746,0.0,0.720901327,0.25553901825
39,0.355419092,0.299243448,0.6301894229999999,0.6682079910000001,0.4882649885
40,0.4030336639999999,0.291711757,0.4607309779999999,0.646405534,0.45047048324999994
41,0.448127974,0.312209597,0.295022543,0.660041903,0.42885050425
42,0.06363185,0.302063008,0.161487414,0.7518586759999999,0.319760237
43,0.1584030619999999,0.308154101,0.245371455,0.7587670059999999,0.36767390599999994
44,0.280766483,0.308581623,0.39705311,0.683512137,0.41747833825
45,0.169953889,0.305237749,0.315408712,0.717359125,0.37698986874999996
46,0.4357162879999999,0.301152207,0.54736688,0.720620771,0.5012140365
47,0.5029878729999999,0.2711772839999999,0.658291776,0.632611739,0.5162671679999999
48,0.411095253,0.307404126,0.420425487,0.507036602,0.41149036699999997
49,0.0,0.309061936,0.249391321,0.829508668,0.34699048125
50,0.60524135,0.292846456,0.566122544,0.55961763,0.505956995
51,0.036722404,0.29634609,0.149558833,0.631536687,0.2785410035
52,0.548913158,0.281596428,0.592978659,0.531431929,0.48873004350000004
53,0.482668561,0.302834387,0.387132826,0.5448942170000001,0.42938249775000004
54,0.381922485,0.300206034,0.2973237689999999,0.555727593,0.38379497025
55,0.474618844,0.2956812789999999,0.552914094,0.56202944,0.47131091424999993
56,0.563932291,0.3034600839999999,0.29755901,0.54676164,0.42792825624999997
57,0.54281982,0.305108703,0.423439282,0.528674438,0.45001056075
58,0.209763819,0.300304673,0.3491373279999999,0.592789693,0.36299887825
59,0.659844828,0.29358792,0.574774158,0.7552798620000001,0.570871692
60,0.564005144,0.299649356,0.576095893,0.547948122,0.49692462875
61,0.725751082,0.298748263,0.4714092239999999,0.59008353,0.5214980247500001
62,0.458993407,0.310884402,0.548037624,0.688852314,0.50169193675
63,0.450101697,0.302899653,0.39642071,0.477122366,0.40663610650000004
64,0.186955201,0.305778514,0.327956915,0.688142377,0.37720825175
65,0.0,0.307173304,0.14252202,0.593821281,0.26087915125
66,0.300454389,0.31038586,0.251758612,0.53744751,0.35001159275
67,0.297481532,0.298046729,0.297796718,0.7312897859999999,0.40615369125
68,0.23678116,0.3047377089999999,0.283038038,0.670071074,0.37365699524999996
69,0.138160889,0.300044899,0.2275544639999999,0.6150153389999999,0.32019389774999996
70,0.132908514,0.302563946,0.2266222819999999,0.672821227,0.33372899224999997
71,0.0,0.2958177039999999,0.232416782,0.500645374,0.257219965
72,0.262479652,0.30126063,0.1704909289999999,0.499411147,0.30841058949999994
73,0.0,0.312935195,0.2686417239999999,0.7289121120000001,0.32762225775
74,0.0,0.312935195,0.2686417239999999,0.7289121120000001,0.32762225775
75,0.300944958,0.290036892,0.246584668,0.618931264,0.3641244455
76,0.0885193309999999,0.307515419,0.166893032,0.636798286,0.299931517
77,0.231959996,0.3269830469999999,0.593489539,0.51706012,0.41737317549999997
78,0.351995158,0.311218902,0.382401812,0.470889377,0.37912631225
79,0.52017175,0.29583859,0.411338349,0.5853799479999999,0.45318215925
80,0.0210260979999999,0.305089839,0.29621961,0.702705719,0.3312603165
81,0.41890027,0.298837276,0.399880997,0.375899172,0.37337942874999996
82,0.70489877,0.308516352,0.368444755,0.521988563,0.47596211
83,0.2191156289999999,0.299286697,0.398747574,0.569494349,0.37166106224999995
84,0.3577295829999999,0.300724848,0.288934843,0.631803524,0.39479819949999995
85,0.201800978,0.30124978,0.258848915,0.598589301,0.3401222435
86,0.106546608,0.299116735,0.302133501,0.664456478,0.3430633305
87,0.092951904,0.30677437,0.203055375,0.628939392,0.30793026025000003
